date_acquired,rank,price_per_ounce,bought_last_month,product_rating,num_reviews,estimated_monthly_profit
2025-05-15,Others,3.7,57.14,4.46,27.75,295.41
2025-05-15,Top 100,1.81,351.72,4.24,309.42,1818.39
2025-05-15,Top 15,0.7,1152.94,4.58,3943.26,5960.7
2025-05-15,Top 25,0.75,831.25,4.62,1996.15,4297.56
2025-05-15,Top 5,0.5,10355.56,4.69,35534.33,53538.25
2025-05-15,Top 50,1.24,262.75,4.42,1006.93,1358.42
2025-05-17,Others,6.02,89.09,4.43,45.31,460.6
2025-05-17,Top 100,1.03,358.82,4.42,342.05,1855.1
2025-05-17,Top 15,0.69,1173.61,4.62,4408.52,6067.56
2025-05-17,Top 25,1.27,1302.44,4.62,2119.83,6733.61
2025-05-17,Top 5,0.53,11092.06,4.7,48188.95,57345.95
2025-05-17,Top 50,1.17,199.24,4.42,1024.76,1030.07
2025-05-18,Others,5.21,247.92,4.37,66.57,1281.75
2025-05-18,Top 100,1.07,253.05,4.38,476.66,1308.27
2025-05-18,Top 15,0.66,1144.12,4.64,4560.07,5915.1
2025-05-18,Top 25,0.63,1421.88,4.63,2218.46,7351.12
2025-05-18,Top 5,0.54,10837.84,4.7,47485.54,56031.63
2025-05-18,Top 50,1.38,242.28,4.48,1191.33,1252.59
2025-05-19,Others,5.75,123.91,4.34,49.48,640.61
2025-05-19,Top 100,1.16,325.81,4.43,392.49,1684.44
2025-05-19,Top 15,0.66,1233.33,4.59,4361.57,6376.32
2025-05-19,Top 25,0.67,1161.43,4.61,2277.35,6004.59
2025-05-19,Top 5,0.49,12358.82,4.66,45368.47,63895.1
2025-05-19,Top 50,1.31,220.93,4.38,1077.91,1142.21
2025-05-20,Others,5.41,108.06,4.33,45.22,558.67
2025-05-20,Top 100,1.65,318.56,4.41,375.93,1646.96
2025-05-20,Top 15,0.65,1170.83,4.62,4026.42,6053.19
2025-05-20,Top 25,0.77,1186.11,4.6,2123.42,6132.19
2025-05-20,Top 5,0.5,12025.0,4.7,43670.0,62169.25
2025-05-20,Top 50,1.28,208.98,4.36,1069.53,1080.43
2025-05-21,Others,5.67,207.78,4.35,58.64,1074.22
2025-05-21,Top 100,1.2,311.02,4.34,389.73,1607.97
2025-05-21,Top 15,0.61,1987.5,4.57,5598.21,10275.38
2025-05-21,Top 25,0.67,1393.75,4.62,2492.04,7205.69
2025-05-21,Top 5,0.52,11617.65,4.65,46457.15,60063.25
2025-05-21,Top 50,1.16,218.64,4.4,1064.07,1130.37
2025-05-22,Others,7.27,78.45,4.33,38.0,405.59
2025-05-22,Top 100,1.37,458.45,4.43,336.5,2370.19
2025-05-22,Top 15,0.51,1500.0,4.6,4928.5,7755.0
2025-05-22,Top 25,0.8,1154.55,4.59,2602.93,5969.02
2025-05-22,Top 5,0.5,12250.0,4.65,45865.82,63332.5
2025-05-22,Top 50,1.25,193.53,4.42,1086.35,1000.55
2025-05-23,Others,4.57,63.0,4.35,30.06,325.71
2025-05-23,Top 100,5.91,337.08,4.35,214.89,1742.7
2025-05-23,Top 15,0.66,1094.12,4.65,3376.95,5656.6
2025-05-23,Top 25,0.87,662.12,4.58,1775.83,3423.16
2025-05-23,Top 5,0.51,11089.66,4.64,39152.31,57333.54
2025-05-23,Top 50,0.95,214.06,4.39,829.63,1106.69
2025-05-24,Others,6.58,89.23,4.38,47.83,461.32
2025-05-24,Top 100,1.65,321.7,4.42,360.12,1663.19
2025-05-24,Top 15,0.76,1230.0,4.56,4118.44,6359.1
2025-05-24,Top 25,1.17,868.29,4.62,2244.33,4489.06
2025-05-24,Top 5,0.5,12629.63,4.65,45137.44,65295.19
2025-05-24,Top 50,0.93,201.95,4.45,1001.2,1044.08
2025-05-25,Others,8.25,71.95,4.44,24.15,371.98
2025-05-25,Top 100,5.31,261.27,4.29,207.15,1350.77
2025-05-25,Top 15,0.62,959.09,4.67,3472.85,4958.5
