Date,Count
01-08-2016,226
02-08-2016,124
04-08-2016,78
05-08-2016,376
06-08-2016,148
07-08-2016,122
08-08-2016,256
09-08-2016,300
10-08-2016,314
11-08-2016,426
12-08-2016,534
13-08-2016,172
14-08-2016,194
15-08-2016,394
16-08-2016,414
17-08-2016,404
18-08-2016,378
19-08-2016,278
20-08-2016,162
21-08-2016,148
22-08-2016,370
23-08-2016,352
24-08-2016,310
25-08-2016,498
26-08-2016,388
27-08-2016,80
28-08-2016,184
29-08-2016,268
30-08-2016,240
31-08-2016,284
01-09-2016,326
02-09-2016,152
03-09-2016,94
04-09-2016,76
05-09-2016,130
06-09-2016,246
07-09-2016,190
08-09-2016,370
09-09-2016,202
10-09-2016,84
11-09-2016,116
12-09-2016,230
13-09-2016,200
14-09-2016,278
15-09-2016,294
16-09-2016,300
17-09-2016,36
18-09-2016,70
19-09-2016,228
20-09-2016,258
21-09-2016,210
22-09-2016,238
23-09-2016,186
24-09-2016,78
25-09-2016,120
26-09-2016,254
27-09-2016,222
28-09-2016,274
29-09-2016,170
30-09-2016,148
01-10-2016,34
02-10-2016,176
03-10-2016,220
04-10-2016,226
05-10-2016,246
06-10-2016,202
07-10-2016,232
08-10-2016,76
09-10-2016,120
10-10-2016,192
11-10-2016,228
12-10-2016,236
13-10-2016,206
14-10-2016,166
15-10-2016,32
16-10-2016,142
17-10-2016,264
18-10-2016,254
19-10-2016,194
20-10-2016,194
21-10-2016,268
22-10-2016,70
23-10-2016,158
24-10-2016,188
25-10-2016,128
26-10-2016,224
27-10-2016,206
28-10-2016,202
29-10-2016,60
30-10-2016,90
31-10-2016,140
01-11-2016,216
02-11-2016,238
03-11-2016,206
04-11-2016,218
05-11-2016,108
06-11-2016,146
07-11-2016,188
08-11-2016,296
09-11-2016,176
10-11-2016,192
11-11-2016,102
12-11-2016,88
13-11-2016,124
14-11-2016,296
15-11-2016,250
16-11-2016,198
17-11-2016,356
18-11-2016,196
19-11-2016,72
20-11-2016,62
21-11-2016,194
22-11-2016,106
23-11-2016,230
24-11-2016,102
25-11-2016,208
26-11-2016,84
27-11-2016,100
28-11-2016,476
29-11-2016,274
30-11-2016,324
01-12-2016,288
02-12-2016,296
03-12-2016,96
04-12-2016,160
05-12-2016,518
06-12-2016,450
07-12-2016,392
08-12-2016,394
09-12-2016,506
10-12-2016,220
11-12-2016,238
12-12-2016,548
13-12-2016,504
14-12-2016,432
15-12-2016,392
16-12-2016,524
17-12-2016,238
18-12-2016,260
19-12-2016,462
20-12-2016,394
21-12-2016,234
22-12-2016,176
23-12-2016,90
24-12-2016,82
25-12-2016,96
26-12-2016,54
27-12-2016,98
28-12-2016,172
29-12-2016,126
30-12-2016,54
31-12-2016,42
01-01-2017,58
02-01-2017,82
03-01-2017,212
04-01-2017,202
05-01-2017,232
06-01-2017,204
07-01-2017,48
08-01-2017,66
09-01-2017,208
10-01-2017,124
11-01-2017,104
12-01-2017,158
13-01-2017,154
14-01-2017,54
15-01-2017,14
16-01-2017,116
17-01-2017,186
18-01-2017,222
19-01-2017,140
20-01-2017,126
21-01-2017,56
22-01-2017,72
23-01-2017,136
24-01-2017,134
25-01-2017,176
26-01-2017,226
27-01-2017,170
28-01-2017,14
29-01-2017,132
30-01-2017,224
31-01-2017,260
01-02-2017,220
02-02-2017,134
03-02-2017,202
04-02-2017,90
05-02-2017,46
06-02-2017,158
07-02-2017,116
08-02-2017,102
09-02-2017,158
10-02-2017,142
11-02-2017,28
12-02-2017,92
13-02-2017,184
14-02-2017,278
15-02-2017,188
16-02-2017,190
17-02-2017,254
18-02-2017,68
19-02-2017,108
20-02-2017,150
21-02-2017,182
22-02-2017,163
23-02-2017,204
24-02-2017,238
25-02-2017,68
26-02-2017,38
27-02-2017,140
28-02-2017,176
01-03-2017,192
02-03-2017,198
03-03-2017,140
04-03-2017,442
05-03-2017,182
06-03-2017,170
07-03-2017,200
08-03-2017,152
09-03-2017,154
10-03-2017,156
11-03-2017,96
12-03-2017,48
13-03-2017,248
14-03-2017,222
15-03-2017,236
16-03-2017,168
17-03-2017,206
18-03-2017,146
19-03-2017,144
20-03-2017,346
21-03-2017,272
22-03-2017,222
23-03-2017,176
24-03-2017,170
25-03-2017,104
26-03-2017,84
27-03-2017,216
28-03-2017,238
29-03-2017,254
30-03-2017,236
31-03-2017,158
01-04-2017,50
02-04-2017,106
03-04-2017,238
04-04-2017,190
05-04-2017,292
06-04-2017,236
07-04-2017,324
08-04-2017,146
09-04-2017,82
10-04-2017,298
11-04-2017,206
12-04-2017,322
13-04-2017,174
14-04-2017,176
15-04-2017,40
16-04-2017,72
17-04-2017,228
18-04-2017,398
19-04-2017,266
20-04-2017,202
21-04-2017,266
22-04-2017,90
23-04-2017,52
24-04-2017,188
25-04-2017,182
26-04-2017,264
27-04-2017,246
28-04-2017,242
29-04-2017,90
30-04-2017,176
01-05-2017,390
02-05-2017,318
03-05-2017,304
04-05-2017,230
05-05-2017,266
06-05-2017,108
07-05-2017,62
08-05-2017,268
09-05-2017,286
10-05-2017,270
11-05-2017,224
12-05-2017,236
13-05-2017,170
14-05-2017,56
15-05-2017,178
16-05-2017,334
17-05-2017,252
18-05-2017,166
19-05-2017,272
20-05-2017,110
21-05-2017,98
22-05-2017,142
23-05-2017,248
24-05-2017,234
25-05-2017,204
26-05-2017,172
27-05-2017,94
28-05-2017,60
29-05-2017,86
30-05-2017,324
31-05-2017,350
01-06-2017,158
02-06-2017,238
03-06-2017,106
04-06-2017,60
05-06-2017,184
06-06-2017,178
07-06-2017,238
08-06-2017,120
09-06-2017,184
10-06-2017,78
11-06-2017,170
12-06-2017,366
13-06-2017,258
14-06-2017,272
15-06-2017,212
16-06-2017,164
17-06-2017,136
18-06-2017,184
19-06-2017,232
20-06-2017,282
21-06-2017,204
22-06-2017,214
23-06-2017,130
24-06-2017,56
25-06-2017,102
26-06-2017,160
27-06-2017,262
28-06-2017,232
29-06-2017,178
30-06-2017,194
01-07-2017,12
02-07-2017,40
03-07-2017,92
04-07-2017,58
05-07-2017,302
06-07-2017,162
07-07-2017,228
08-07-2017,56
09-07-2017,114
10-07-2017,254
11-07-2017,320
12-07-2017,356
13-07-2017,504
14-07-2017,332
15-07-2017,134
16-07-2017,164
17-07-2017,364
18-07-2017,326
19-07-2017,352
20-07-2017,288
21-07-2017,324
22-07-2017,174
23-07-2017,98
24-07-2017,256
25-07-2017,242
26-07-2017,266
27-07-2017,344
28-07-2017,318
29-07-2017,148
30-07-2017,194
31-07-2017,440
01-08-2017,390
