v2ProductCategory,count
Home/Apparel/Men's/Men's-T-Shirts/,1914449
Home/Shop by Brand/YouTube/,1860328
Home/Apparel/,1153179
Home/Office/,1116716
(not set),1001096
Home/Electronics/,969730
Home/Shop by Brand/Google/,875321
Home/Apparel/Men's/Men's-Outerwear/,708252
Home/Drinkware/,674845
Home/Bags/,651227
Home/Apparel/Men's/,584842
Home/Apparel/Women's/Women's-T-Shirts/,565429
Home/Lifestyle/,437208
Home/Accessories/Fun/,395932
Home/Accessories/,390459
Home/Shop by Brand/Android/,342106
Home/Drinkware/Water Bottles and Tumblers/,321382
Home/Apparel/Headgear/,304217
Home/Office/Notebooks & Journals/,277151
Home/Bags/Backpacks/,258214
Home/Accessories/Stickers/,255233
Home/Apparel/Women's/,250847
Home/Electronics/Audio/,247500
Home/Office/Writing Instruments/,228040
Home/Apparel/Women's/Women's-Outerwear/,220124
Home/Shop by Brand/,210047
Home/Electronics/Electronics Accessories/,184629
Home/Apparel/Men's/Men's-Performance Wear/,164038
Home/Accessories/Drinkware/,156578
Home/Bags/More Bags/,143675
Home/Accessories/Housewares/,129554
Home/Apparel/Kid's/Kid's-Infant/,126917
Home/Limited Supply/Bags/,115830
Apparel,110283
Home/Electronics/Power/,106337
Home/Apparel/Kid's/Kids-Youth/,101441
Home/Apparel/Kid's/,87456
Home/Apparel/Kid's/Kid's-Toddler/,87243
Home/Drinkware/Mugs and Cups/,85203
Home/Apparel/Women's/Women's-Performance Wear/,78685
${escCatTitle},75125
Home/Bags/Shopping and Totes/,72835
Home/Fruit Games/,63496
Home/Accessories/Sports & Fitness/,59863
Home/Electronics/Flashlights/,57814
Home/Accessories/Pet/,51813
Office,45147
Home/Office/Office Other/,44512
Home/Brands/YouTube/,43116
Home/Brands/Android/,37279
Drinkware,24182
Home/Gift Cards/,19932
Lifestyle,17906
Bags,12488
Home/Clearance Sale/,12353
Electronics,11171
Home/Spring Sale!/,10843
Home/Electronics/Accessories/Drinkware/,6921
Home/Brands/,5890
Headgear,5071
Home/Kids/,4807
Wearables/Men's T-Shirts/,3898
Waze,3058
Notebooks & Journals,2935
Home/Fun/,2720
Home/Limited Supply/Bags/Backpacks/,2232
Home/Limited Supply/,2104
Bottles,1862
Lifestyle/,1586
Home/Shop by Brand/Waze/,1385
Home/Lifestyle/Fun/,1336
Accessories,1203
Gift Cards,1131
Backpacks,815
Housewares,807
Google,761
More Bags,645
Fun,605
Bottles/,489
Home/Wearables/,405
Android,347
Gift Cards/,311
/,215
Home/,120
Home/Office/Writing/,104
/Electronics/Audio/,93
Men's/Men's-Performance Wear/,88
Home/Apparel//Men's-T-Shirts/,70
Mugs/,46
Wearables/,42
Tumblers,42
YouTube,40
Limited Supply/,32
YouTube/,24
Home/Wearables/Men's T-Shirts/,14
Writing/,12
/Shop by Brand/Android/,12
Men's-Outerwear/,12
Home/Drinkware/Bottles/,12
Mens Outerwear,12
Shop by Brand/Android/,12
Tumblers/,6
Other/,5
Home/Limited Supply/Bags/Shopping/,4
Home/Drinkware/Mugs/,3
Headwear/,2
